image_name,image_URL
Bar-headed_Goose_(Anser_indicus)_(46804504011).jpg,https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_(Anser_indicus)_(46804504011).jpg
Bar-headed_Goose_(Anser_indicus)_(47484625292).jpg,https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_(Anser_indicus)_(47484625292).jpg
Bar-headed_Goose_(Anser_indicus)_(Captive_specimen)_(44202132345).jpg,https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_(Anser_indicus)_(Captive_specimen)_(44202132345).jpg
"Bar-headed_Goose_-_St_James's_Park,_London_-_Nov_2006.jpg","https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_-_St_James's_Park,_London_-_Nov_2006.jpg"
"Bar-headed_Goose_-_St_James's_Park,_London_-_Nov_2006_(cropped).jpg","https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_-_St_James's_Park,_London_-_Nov_2006_(cropped).jpg"
"Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(01).jpg","https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(01).jpg"
"Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(02).jpg","https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(02).jpg"
"Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(03).jpg","https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(03).jpg"
"Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(04).jpg","https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(04).jpg"
"Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(05).jpg","https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_-_Zoetermeer,_The_Netherlands_(05).jpg"
Bar-headed_Goose_DSC_1168_copy.jpg,https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_DSC_1168_copy.jpg
Bar-headed_Goose_RWD1.jpg,https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_RWD1.jpg
Bar-headed_Goose_RWD2.jpg,https://commons.wikimedia.org/w/index.php?search=Bar-headed_Goose_RWD2.jpg
BarheadedGoose2.jpg,https://commons.wikimedia.org/w/index.php?search=BarheadedGoose2.jpg
Bar_headed_goose.jpg,https://commons.wikimedia.org/w/index.php?search=Bar_headed_goose.jpg
Bar_Headed_Goose_(24395038455).jpg,https://commons.wikimedia.org/w/index.php?search=Bar_Headed_Goose_(24395038455).jpg
Bar_Headed_Goose_Image_001.jpg,https://commons.wikimedia.org/w/index.php?search=Bar_Headed_Goose_Image_001.jpg
"Blackpool_Zoo,_Goose.jpg","https://commons.wikimedia.org/w/index.php?search=Blackpool_Zoo,_Goose.jpg"
Duck_zoo_Chomutov_-_panoramio.jpg,https://commons.wikimedia.org/w/index.php?search=Duck_zoo_Chomutov_-_panoramio.jpg
Goose_501588_fh000028.jpg,https://commons.wikimedia.org/w/index.php?search=Goose_501588_fh000028.jpg
Grooming_Bar-headed_Goose.jpg,https://commons.wikimedia.org/w/index.php?search=Grooming_Bar-headed_Goose.jpg
Indische-gans-1_(28030379574).jpg,https://commons.wikimedia.org/w/index.php?search=Indische-gans-1_(28030379574).jpg
Indische_gans_(7815417156).jpg,https://commons.wikimedia.org/w/index.php?search=Indische_gans_(7815417156).jpg
Indische_Steifengans_(Zoo_Dresden).jpg,https://commons.wikimedia.org/w/index.php?search=Indische_Steifengans_(Zoo_Dresden).jpg
Jielbeaumadier_oie_a_tete_barree_2011.jpeg,https://commons.wikimedia.org/w/index.php?search=Jielbeaumadier_oie_a_tete_barree_2011.jpeg
Jielbeaumadier_oie_a_tete_barree_pm_paris_2008.jpeg,https://commons.wikimedia.org/w/index.php?search=Jielbeaumadier_oie_a_tete_barree_pm_paris_2008.jpeg
Le_Pal_-_2016.10.23_-_Oie_tête_barrée_1.jpg,https://commons.wikimedia.org/w/index.php?search=Le_Pal_-_2016.10.23_-_Oie_tête_barrée_1.jpg
Le_Pal_-_2016.10.23_-_Oie_tête_barrée_2.jpg,https://commons.wikimedia.org/w/index.php?search=Le_Pal_-_2016.10.23_-_Oie_tête_barrée_2.jpg
London_(8248506124).jpg,https://commons.wikimedia.org/w/index.php?search=London_(8248506124).jpg
Lorsch_Streifengans.jpg,https://commons.wikimedia.org/w/index.php?search=Lorsch_Streifengans.jpg
Oie_à_tête_barrée_(3).jpg,https://commons.wikimedia.org/w/index.php?search=Oie_à_tête_barrée_(3).jpg
Oie_à_tête_barrée_-_Bar-headed_goose.jpg,https://commons.wikimedia.org/w/index.php?search=Oie_à_tête_barrée_-_Bar-headed_goose.jpg
Oie_à_tête_barrée_-_bar-headed_groose.jpg,https://commons.wikimedia.org/w/index.php?search=Oie_à_tête_barrée_-_bar-headed_groose.jpg
Oie_à_tête_barrée_-_Bois_des_Bruyères_(Waterloo).jpg,https://commons.wikimedia.org/w/index.php?search=Oie_à_tête_barrée_-_Bois_des_Bruyères_(Waterloo).jpg
Oie_à_tête_barrée_-_Branféré.jpg,https://commons.wikimedia.org/w/index.php?search=Oie_à_tête_barrée_-_Branféré.jpg
Oie_à_tête_barrée_-_Branféré_(cropped).jpg,https://commons.wikimedia.org/w/index.php?search=Oie_à_tête_barrée_-_Branféré_(cropped).jpg
Pato._Naturlandia._Andorra_276.jpg,https://commons.wikimedia.org/w/index.php?search=Pato._Naturlandia._Andorra_276.jpg
Pato._Naturlandia._Andorra_277.jpg,https://commons.wikimedia.org/w/index.php?search=Pato._Naturlandia._Andorra_277.jpg
Reserve_Sigean_-_Oie_à_tête_barrée_02.jpg,https://commons.wikimedia.org/w/index.php?search=Reserve_Sigean_-_Oie_à_tête_barrée_02.jpg
Roettgen_Enten_2.jpg,https://commons.wikimedia.org/w/index.php?search=Roettgen_Enten_2.jpg
Rückseite_Indische_Gans_Vogelpark_Viernheim_2012.jpg,https://commons.wikimedia.org/w/index.php?search=Rückseite_Indische_Gans_Vogelpark_Viernheim_2012.jpg
Spring_in_St._James_Park_-_London_(3721669276).jpg,https://commons.wikimedia.org/w/index.php?search=Spring_in_St._James_Park_-_London_(3721669276).jpg
Square_des_Batignolles_20060815_46.jpg,https://commons.wikimedia.org/w/index.php?search=Square_des_Batignolles_20060815_46.jpg
"Streifengans,_Anser_indicus_1.jpg","https://commons.wikimedia.org/w/index.php?search=Streifengans,_Anser_indicus_1.jpg"
"Streifengans,_Anser_indicus_2.jpg","https://commons.wikimedia.org/w/index.php?search=Streifengans,_Anser_indicus_2.jpg"
"Streifengans,_Anser_indicus_3.jpg","https://commons.wikimedia.org/w/index.php?search=Streifengans,_Anser_indicus_3.jpg"
"Streifengans,_Anser_indicus_4.jpg","https://commons.wikimedia.org/w/index.php?search=Streifengans,_Anser_indicus_4.jpg"
Streifengans-2013.jpg,https://commons.wikimedia.org/w/index.php?search=Streifengans-2013.jpg
Streifengans.jpg,https://commons.wikimedia.org/w/index.php?search=Streifengans.jpg
Streifengans_2010.jpg,https://commons.wikimedia.org/w/index.php?search=Streifengans_2010.jpg
Streifengans_Anser_indicus_2_Richard_Bartz.jpg,https://commons.wikimedia.org/w/index.php?search=Streifengans_Anser_indicus_2_Richard_Bartz.jpg
Streifengans_Anser_indicus_3_Richard_Bartz.jpg,https://commons.wikimedia.org/w/index.php?search=Streifengans_Anser_indicus_3_Richard_Bartz.jpg
Streifengans_Anser_indicus_4_Richard_Bartz.jpg,https://commons.wikimedia.org/w/index.php?search=Streifengans_Anser_indicus_4_Richard_Bartz.jpg
